484954	2814
1036451	3630
1006577	3805
828170	2781
497471	3201
745951	3825
1765154	3583
31315	471
779358	2685
543382	2507
919561	2087
1274868	2828
846354	2823
1619890	3431
947650	2355
1285863	8453
1709149	4868
309171	1935
1734393	7368
223833	2046
284294	1615
999448	2919
1146387	5763
1351333	3029
316305	1711
84484	1907
708785	3159
442735	2657
184644	3072
341574	1711
59443	1592
112652	1195
34002	1342
1212941	4642
60704	2015
425192	1489
814724	3077
328419	1969
120206	1958
917784	4549
1663249	3478
77372	1528
1226093	4546
208426	1948
438773	2927
925391	2115
1865919	3723
593899	1934
1689604	3375
751519	2399
13067	1129
1230430	3199
1353280	6417
1797753	8660
157778	1836
608434	1938
570556	2977
696453	2384
589384	1993
104125	1409
684900	2804
1064321	2522
204814	1497
1240339	2926
214195	2177
1381831	2937
446394	2265
1286277	2524
1153059	2620
65859	1748
106400	1353
1369616	2673
435532	1525
1467391	2943
483561	1751
154840	1866
1149466	2704
711947	2358
371353	2359
981889	2548
242448	2017
1412955	3028
734356	1845
1597295	3319
167279	1400
803583	2487
1297994	2661
268399	2245
1630627	3126
365239	2323
1703062	2962
1779398	9940
970156	10720
284978	2761
401512	2247
1639080	5281
1302221	4690
883631	2329
473496	1727
357483	2174
